Ficheiro gerado automaticamente: questões de Mecânica das Rochas para Anki (Frente<TAB>Verso)
O que é Mecânica das Rochas?	Estudo teórico e prático das propriedades das rochas e suas respostas (deformações) a perturbações.
Calcule S/L e (L-I)/(L-S) para L=4.44 mm, I=4.2 mm, S=2.75 mm.	S/L = 2.75/4.44 = 0.62; (L-I)/(L-S) = 0.14. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=3.83 mm, I=2.83 mm, S=1.98 mm.	S/L = 1.98/3.83 = 0.52; (L-I)/(L-S) = 0.54. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=6.9 mm, I=4.5 mm, S=1.62 mm.	S/L = 1.62/6.9 = 0.23; (L-I)/(L-S) = 0.45. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.9 mm, I=4.06 mm, S=3.06 mm.	S/L = 3.06/5.9 = 0.52; (L-I)/(L-S) = 0.65. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.07 mm, I=4.35 mm, S=3.28 mm.	S/L = 3.28/5.07 = 0.65; (L-I)/(L-S) = 0.4. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=3.53 mm, I=2.0 mm, S=1.3 mm.	S/L = 1.3/3.53 = 0.37; (L-I)/(L-S) = 0.69. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=6.03 mm, I=3.74 mm, S=2.91 mm.	S/L = 2.91/6.03 = 0.48; (L-I)/(L-S) = 0.73. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.22 mm, I=3.49 mm, S=2.43 mm.	S/L = 2.43/4.22 = 0.58; (L-I)/(L-S) = 0.41. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=6.02 mm, I=3.46 mm, S=2.69 mm.	S/L = 2.69/6.02 = 0.45; (L-I)/(L-S) = 0.77. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.18 mm, I=2.79 mm, S=1.04 mm.	S/L = 1.04/4.18 = 0.25; (L-I)/(L-S) = 0.44. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.84 mm, I=1.61 mm, S=1.39 mm.	S/L = 1.39/2.84 = 0.49; (L-I)/(L-S) = 0.85. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.48 mm, I=4.24 mm, S=2.75 mm.	S/L = 2.75/4.48 = 0.61; (L-I)/(L-S) = 0.14. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=3.12 mm, I=2.66 mm, S=1.21 mm.	S/L = 1.21/3.12 = 0.39; (L-I)/(L-S) = 0.24. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=3.66 mm, I=3.16 mm, S=2.61 mm.	S/L = 2.61/3.66 = 0.71; (L-I)/(L-S) = 0.48. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=3.53 mm, I=2.12 mm, S=1.17 mm.	S/L = 1.17/3.53 = 0.33; (L-I)/(L-S) = 0.6. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=6.43 mm, I=5.45 mm, S=4.59 mm.	S/L = 4.59/6.43 = 0.71; (L-I)/(L-S) = 0.53. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=3.81 mm, I=3.58 mm, S=2.23 mm.	S/L = 2.23/3.81 = 0.59; (L-I)/(L-S) = 0.15. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.39 mm, I=4.04 mm, S=2.57 mm.	S/L = 2.57/4.39 = 0.59; (L-I)/(L-S) = 0.19. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.97 mm, I=5.02 mm, S=1.97 mm.	S/L = 1.97/5.97 = 0.33; (L-I)/(L-S) = 0.24. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.93 mm, I=4.33 mm, S=2.81 mm.	S/L = 2.81/4.93 = 0.57; (L-I)/(L-S) = 0.28. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=3.47 mm, I=2.02 mm, S=1.44 mm.	S/L = 1.44/3.47 = 0.41; (L-I)/(L-S) = 0.71. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=3.39 mm, I=2.68 mm, S=1.57 mm.	S/L = 1.57/3.39 = 0.46; (L-I)/(L-S) = 0.39. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.39 mm, I=3.72 mm, S=1.39 mm.	S/L = 1.39/5.39 = 0.26; (L-I)/(L-S) = 0.42. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule a Linha A (IP) para LL=26 (%). (IP = 0.73*(LL-20)).	IP_LinhaA = 0.73 * (26 - 20) = 4.38 (%)
Calcule a Linha A (IP) para LL=28 (%). (IP = 0.73*(LL-20)).	IP_LinhaA = 0.73 * (28 - 20) = 5.84 (%)
Calcule a Linha A (IP) para LL=30 (%). (IP = 0.73*(LL-20)).	IP_LinhaA = 0.73 * (30 - 20) = 7.30 (%)
Calcule a Linha A (IP) para LL=32 (%). (IP = 0.73*(LL-20)).	IP_LinhaA = 0.73 * (32 - 20) = 8.76 (%)
Calcule a Linha A (IP) para LL=34 (%). (IP = 0.73*(LL-20)).	IP_LinhaA = 0.73 * (34 - 20) = 10.22 (%)
Calcule a Linha A (IP) para LL=36 (%). (IP = 0.73*(LL-20)).	IP_LinhaA = 0.73 * (36 - 20) = 11.68 (%)
Calcule a Linha A (IP) para LL=38 (%). (IP = 0.73*(LL-20)).	IP_LinhaA = 0.73 * (38 - 20) = 13.14 (%)
Calcule a Linha A (IP) para LL=40 (%). (IP = 0.73*(LL-20)).	IP_LinhaA = 0.73 * (40 - 20) = 14.60 (%)
Calcule a Linha A (IP) para LL=42 (%). (IP = 0.73*(LL-20)).	IP_LinhaA = 0.73 * (42 - 20) = 16.06 (%)
Calcule a Linha A (IP) para LL=44 (%). (IP = 0.73*(LL-20)).	IP_LinhaA = 0.73 * (44 - 20) = 17.52 (%)
Calcule a Linha A (IP) para LL=46 (%). (IP = 0.73*(LL-20)).	IP_LinhaA = 0.73 * (46 - 20) = 18.98 (%)
Calcule a Linha A (IP) para LL=48 (%). (IP = 0.73*(LL-20)).	IP_LinhaA = 0.73 * (48 - 20) = 20.44 (%)
Calcule a Linha A (IP) para LL=50 (%). (IP = 0.73*(LL-20)).	IP_LinhaA = 0.73 * (50 - 20) = 21.90 (%)
Calcule a Linha A (IP) para LL=52 (%). (IP = 0.73*(LL-20)).	IP_LinhaA = 0.73 * (52 - 20) = 23.36 (%)
Calcule a Linha A (IP) para LL=54 (%). (IP = 0.73*(LL-20)).	IP_LinhaA = 0.73 * (54 - 20) = 24.82 (%)
Calcule a Linha A (IP) para LL=56 (%). (IP = 0.73*(LL-20)).	IP_LinhaA = 0.73 * (56 - 20) = 26.28 (%)
Calcule a Linha A (IP) para LL=58 (%). (IP = 0.73*(LL-20)).	IP_LinhaA = 0.73 * (58 - 20) = 27.74 (%)
Calcule a Linha A (IP) para LL=60 (%). (IP = 0.73*(LL-20)).	IP_LinhaA = 0.73 * (60 - 20) = 29.20 (%)
Calcule a Linha A (IP) para LL=62 (%). (IP = 0.73*(LL-20)).	IP_LinhaA = 0.73 * (62 - 20) = 30.66 (%)
Calcule a Linha A (IP) para LL=64 (%). (IP = 0.73*(LL-20)).	IP_LinhaA = 0.73 * (64 - 20) = 32.12 (%)
Calcule a Linha A (IP) para LL=66 (%). (IP = 0.73*(LL-20)).	IP_LinhaA = 0.73 * (66 - 20) = 33.58 (%)
Calcule a Linha A (IP) para LL=68 (%). (IP = 0.73*(LL-20)).	IP_LinhaA = 0.73 * (68 - 20) = 35.04 (%)
Calcule a Linha A (IP) para LL=70 (%). (IP = 0.73*(LL-20)).	IP_LinhaA = 0.73 * (70 - 20) = 36.50 (%)
Calcule a Linha A (IP) para LL=72 (%). (IP = 0.73*(LL-20)).	IP_LinhaA = 0.73 * (72 - 20) = 37.96 (%)
Calcule a Linha A (IP) para LL=74 (%). (IP = 0.73*(LL-20)).	IP_LinhaA = 0.73 * (74 - 20) = 39.42 (%)
Calcule a Linha A (IP) para LL=76 (%). (IP = 0.73*(LL-20)).	IP_LinhaA = 0.73 * (76 - 20) = 40.88 (%)
Calcule a Linha A (IP) para LL=78 (%). (IP = 0.73*(LL-20)).	IP_LinhaA = 0.73 * (78 - 20) = 42.34 (%)
Calcule a Linha A (IP) para LL=80 (%). (IP = 0.73*(LL-20)).	IP_LinhaA = 0.73 * (80 - 20) = 43.80 (%)
Calcule a Linha A (IP) para LL=82 (%). (IP = 0.73*(LL-20)).	IP_LinhaA = 0.73 * (82 - 20) = 45.26 (%)
Calcule a Linha A (IP) para LL=84 (%). (IP = 0.73*(LL-20)).	IP_LinhaA = 0.73 * (84 - 20) = 46.72 (%)
Quando se usa peneiração e quando se usa sedimentação segundo ASTM D422?	Peneiração: para partículas maiores que 0.075 mm; Sedimentação (hidrometria): para partículas menores que 0.075 mm.
Quais as percentagens aproximadas da crosta: Rochas sedimentares, ígneas e metamórficas?	Sedimentares ~66%, Ígneas ~20%, Metamórficas ~14%.
Por que o arenito é frequentemente um bom reservatório?	Porque tende a ser clástico com grãos bem conectados, resultando em maior porosidade e permeabilidade.
Por que o folhelho (shale) é frequentemente um selante ou gerador?	Porque tem baixa permeabilidade e pode ser rico em matéria orgânica (gerador), além de atuar como selante quando impermeável.
Liste 3 aplicações práticas de Mecânica das Rochas.	Estudo teórico e prático das propriedades das rochas e suas respostas (deformações) a perturbações. (Ver exemplos práticos nas aulas e no roteiro).
Como Mecânica das Rochas influencia a estabilidade de poços?	Estudo teórico e prático das propriedades das rochas e suas respostas (deformações) a perturbações. (Ver exemplos práticos nas aulas e no roteiro).
Quais ensaios permitem caracterizar Mecânica das Rochas?	Estudo teórico e prático das propriedades das rochas e suas respostas (deformações) a perturbações. (Ver exemplos práticos nas aulas e no roteiro).
Liste 3 aplicações práticas de Geomecânica.	Integração de Geologia, Geofísica e Petrofísica para avaliar problemas geomecânicos e reduzir riscos na indústria petrolífera. (Ver exemplos práticos nas aulas e no roteiro).
Como Geomecânica influencia a estabilidade de poços?	Integração de Geologia, Geofísica e Petrofísica para avaliar problemas geomecânicos e reduzir riscos na indústria petrolífera. (Ver exemplos práticos nas aulas e no roteiro).
Quais ensaios permitem caracterizar Geomecânica?	Integração de Geologia, Geofísica e Petrofísica para avaliar problemas geomecânicos e reduzir riscos na indústria petrolífera. (Ver exemplos práticos nas aulas e no roteiro).
Liste 3 aplicações práticas de Juntas (Diáclases).	Fracturação sem deslocamento perceptível dos blocos. (Ver exemplos práticos nas aulas e no roteiro).
Como Juntas (Diáclases) influencia a estabilidade de poços?	Fracturação sem deslocamento perceptível dos blocos. (Ver exemplos práticos nas aulas e no roteiro).
Quais ensaios permitem caracterizar Juntas (Diáclases)?	Fracturação sem deslocamento perceptível dos blocos. (Ver exemplos práticos nas aulas e no roteiro).
Liste 3 aplicações práticas de Falhas.	Fractura com deslocamento relativo de blocos ao longo de um plano de fractura. (Ver exemplos práticos nas aulas e no roteiro).
Como Falhas influencia a estabilidade de poços?	Fractura com deslocamento relativo de blocos ao longo de um plano de fractura. (Ver exemplos práticos nas aulas e no roteiro).
Quais ensaios permitem caracterizar Falhas?	Fractura com deslocamento relativo de blocos ao longo de um plano de fractura. (Ver exemplos práticos nas aulas e no roteiro).
Liste 3 aplicações práticas de Dobras.	Deformação interna com flexão e encurtamento das camadas rochosas. (Ver exemplos práticos nas aulas e no roteiro).
Como Dobras influencia a estabilidade de poços?	Deformação interna com flexão e encurtamento das camadas rochosas. (Ver exemplos práticos nas aulas e no roteiro).
Quais ensaios permitem caracterizar Dobras?	Deformação interna com flexão e encurtamento das camadas rochosas. (Ver exemplos práticos nas aulas e no roteiro).
Liste 3 aplicações práticas de Poro-pressão.	Pressão dos fluidos nos poros das rochas; afeta estabilidade de poços e risco de kick/blowout. (Ver exemplos práticos nas aulas e no roteiro).
Como Poro-pressão influencia a estabilidade de poços?	Pressão dos fluidos nos poros das rochas; afeta estabilidade de poços e risco de kick/blowout. (Ver exemplos práticos nas aulas e no roteiro).
Quais ensaios permitem caracterizar Poro-pressão?	Pressão dos fluidos nos poros das rochas; afeta estabilidade de poços e risco de kick/blowout. (Ver exemplos práticos nas aulas e no roteiro).
Liste 3 aplicações práticas de Janela de perfuração segura.	Intervalo entre a pressão de poro (limite inferior) e a pressão de fratura (limite superior). (Ver exemplos práticos nas aulas e no roteiro).
Como Janela de perfuração segura influencia a estabilidade de poços?	Intervalo entre a pressão de poro (limite inferior) e a pressão de fratura (limite superior). (Ver exemplos práticos nas aulas e no roteiro).
Quais ensaios permitem caracterizar Janela de perfuração segura?	Intervalo entre a pressão de poro (limite inferior) e a pressão de fratura (limite superior). (Ver exemplos práticos nas aulas e no roteiro).
Liste 3 aplicações práticas de Sanding (produção de areia).	Perda de material da formação quando as tensões do fluxo excedem a resistência da rocha reservatório. (Ver exemplos práticos nas aulas e no roteiro).
Como Sanding (produção de areia) influencia a estabilidade de poços?	Perda de material da formação quando as tensões do fluxo excedem a resistência da rocha reservatório. (Ver exemplos práticos nas aulas e no roteiro).
Quais ensaios permitem caracterizar Sanding (produção de areia)?	Perda de material da formação quando as tensões do fluxo excedem a resistência da rocha reservatório. (Ver exemplos práticos nas aulas e no roteiro).
Liste 3 aplicações práticas de Critério de Mohr-Coulomb.	Critério para avaliar falhas reativadas com base em tensões normais e cisalhantes e resistência ao cisalhamento. (Ver exemplos práticos nas aulas e no roteiro).
Como Critério de Mohr-Coulomb influencia a estabilidade de poços?	Critério para avaliar falhas reativadas com base em tensões normais e cisalhantes e resistência ao cisalhamento. (Ver exemplos práticos nas aulas e no roteiro).
Quais ensaios permitem caracterizar Critério de Mohr-Coulomb?	Critério para avaliar falhas reativadas com base em tensões normais e cisalhantes e resistência ao cisalhamento. (Ver exemplos práticos nas aulas e no roteiro).
Liste 3 aplicações práticas de SPT (Standard Penetration Test).	Ensaio de penetração em campo que fornece resistência à penetração e parâmetros geotécnicos. (Ver exemplos práticos nas aulas e no roteiro).
Como SPT (Standard Penetration Test) influencia a estabilidade de poços?	Ensaio de penetração em campo que fornece resistência à penetração e parâmetros geotécnicos. (Ver exemplos práticos nas aulas e no roteiro).
Quais ensaios permitem caracterizar SPT (Standard Penetration Test)?	Ensaio de penetração em campo que fornece resistência à penetração e parâmetros geotécnicos. (Ver exemplos práticos nas aulas e no roteiro).
Liste 3 aplicações práticas de CPT (Cone Penetration Test).	Ensaio de penetração de cone para caracterizar perfil contínuo do solo e parâmetros de resistência. (Ver exemplos práticos nas aulas e no roteiro).
Como CPT (Cone Penetration Test) influencia a estabilidade de poços?	Ensaio de penetração de cone para caracterizar perfil contínuo do solo e parâmetros de resistência. (Ver exemplos práticos nas aulas e no roteiro).
Quais ensaios permitem caracterizar CPT (Cone Penetration Test)?	Ensaio de penetração de cone para caracterizar perfil contínuo do solo e parâmetros de resistência. (Ver exemplos práticos nas aulas e no roteiro).
Liste 3 aplicações práticas de Ensaio de carga em placa.	Teste de campo para determinar resposta à carga superficial e capacidade de carga local. (Ver exemplos práticos nas aulas e no roteiro).
Como Ensaio de carga em placa influencia a estabilidade de poços?	Teste de campo para determinar resposta à carga superficial e capacidade de carga local. (Ver exemplos práticos nas aulas e no roteiro).
Quais ensaios permitem caracterizar Ensaio de carga em placa?	Teste de campo para determinar resposta à carga superficial e capacidade de carga local. (Ver exemplos práticos nas aulas e no roteiro).
Liste 3 aplicações práticas de Ensaio de consolidação.	Ensaio laboratorial para medir compressibilidade e coeficiente de consolidação. (Ver exemplos práticos nas aulas e no roteiro).
Como Ensaio de consolidação influencia a estabilidade de poços?	Ensaio laboratorial para medir compressibilidade e coeficiente de consolidação. (Ver exemplos práticos nas aulas e no roteiro).
Quais ensaios permitem caracterizar Ensaio de consolidação?	Ensaio laboratorial para medir compressibilidade e coeficiente de consolidação. (Ver exemplos práticos nas aulas e no roteiro).
Liste 3 aplicações práticas de Arenito.	Rocha clástica típica reservatório: geralmente alta porosidade e permeabilidade. (Ver exemplos práticos nas aulas e no roteiro).
Como Arenito influencia a estabilidade de poços?	Rocha clástica típica reservatório: geralmente alta porosidade e permeabilidade. (Ver exemplos práticos nas aulas e no roteiro).
Quais ensaios permitem caracterizar Arenito?	Rocha clástica típica reservatório: geralmente alta porosidade e permeabilidade. (Ver exemplos práticos nas aulas e no roteiro).
Liste 3 aplicações práticas de Folhelho (Shale).	Rocha biogênica rica em matéria orgânica: geralmente selante/geradora com baixa permeabilidade. (Ver exemplos práticos nas aulas e no roteiro).
Como Folhelho (Shale) influencia a estabilidade de poços?	Rocha biogênica rica em matéria orgânica: geralmente selante/geradora com baixa permeabilidade. (Ver exemplos práticos nas aulas e no roteiro).
Quais ensaios permitem caracterizar Folhelho (Shale)?	Rocha biogênica rica em matéria orgânica: geralmente selante/geradora com baixa permeabilidade. (Ver exemplos práticos nas aulas e no roteiro).
Liste 3 aplicações práticas de Granito.	Rocha ígnea compacta com grãos não orientados; baixa porosidade. (Ver exemplos práticos nas aulas e no roteiro).
Como Granito influencia a estabilidade de poços?	Rocha ígnea compacta com grãos não orientados; baixa porosidade. (Ver exemplos práticos nas aulas e no roteiro).
Quais ensaios permitem caracterizar Granito?	Rocha ígnea compacta com grãos não orientados; baixa porosidade. (Ver exemplos práticos nas aulas e no roteiro).
Pergunta de revisão avançada #1: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #2: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #3: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #4: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #5: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #6: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #7: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #8: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #9: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #10: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #11: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #12: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #13: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #14: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #15: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #16: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #17: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #18: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #19: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #20: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #21: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #22: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #23: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #24: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #25: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #26: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #27: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #28: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #29: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #30: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #31: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #32: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #33: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #34: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #35: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #36: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #37: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #38: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #39: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #40: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
